TIME,actPressure,desPressure,encPos,motorPWM
sec,kPa,kPa,deg,pct
0,0,0,0,0,
0.01,0,10,0,0.00014631,
0.02,0,20,0,0.000292619,
0.03,0,30,0,0.000438929,
0.04,0,40,0,0.000585239,
0.05,0,50,0,0.000731548,
0.06,0,60,0,0.000877858,
0.07,0,70,0,0.00102417,
0.08,0,80,0,0.00117048,
0.09,0,90,0,0.00131679,
0.1,0,100,0,0.0014631,
0.11,0,110,0,0.00160941,
0.12,0,120,0,0.00175572,
0.13,0,130,0,0.00190203,
0.14,0,140,0,0.00204834,
0.15,0,150,0,0.00219464,
0.16,0,160,0,0.00234095,
0.17,0,170,0,0.00248726,
0.18,0,180,0,0.00263357,
0.19,0,190,0,0.00277988,
0.2,0,200,0,0.00292619,
0.21,0,210,0,0.0030725,
0.22,0,220,0,0.00321881,
0.23,0,230,0,0.00336512,
0.24,0,240,0,0.00351143,
0.25,0,250,0,0.00365774,
0.26,0,260,0,0.00380405,
